id,title,genres,overview,popularity,release_date,budget,revenue,tagline,original_language,runtime,image_width,image_height,caption,caption_with_overview,genre_names,num_genres
958006,The Kill Room,"[{'id': 80, 'name': 'Crime'} {'id': 53, 'name': 'Thriller'}
 {'id': 28, 'name': 'Action'}]","A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld.",705.024,2023-09-14,50000000,476375,Crime is an art form.,en,98,500,750,"Title: The Kill Room
Genres: Crime, Thriller, Action","Title: The Kill Room
Genres: Crime, Thriller, Action
Overview: A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld.","['Crime', 'Thriller', 'Action']",3
939335,Muzzle,"[{'id': 28, 'name': 'Action'} {'id': 80, 'name': 'Crime'}
 {'id': 18, 'name': 'Drama'} {'id': 53, 'name': 'Thriller'}]","LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",855.615,2023-09-29,0,7807,Vengeance unleashed.,en,100,500,750,"Title: Muzzle
Genres: Action, Crime, Drama, Thriller","Title: Muzzle
Genres: Action, Crime, Drama, Thriller
Overview: LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.","['Action', 'Crime', 'Drama', 'Thriller']",4
615656,Meg 2: The Trench,"[{'id': 28, 'name': 'Action'} {'id': 878, 'name': 'Science Fiction'}
 {'id': 27, 'name': 'Horror'}]",An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,942.047,2023-08-02,129000000,384056482,Back for seconds.,en,116,500,750,"Title: Meg 2: The Trench
Genres: Action, Science Fiction, Horror","Title: Meg 2: The Trench
Genres: Action, Science Fiction, Horror
Overview: An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.","['Action', 'Science Fiction', 'Horror']",3
385687,Fast X,"[{'id': 28, 'name': 'Action'} {'id': 80, 'name': 'Crime'}
 {'id': 53, 'name': 'Thriller'}]","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",761.431,2023-05-17,340000000,704709660,The end of the road begins.,en,142,500,750,"Title: Fast X
Genres: Action, Crime, Thriller","Title: Fast X
Genres: Action, Crime, Thriller
Overview: Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","['Action', 'Crime', 'Thriller']",3
893723,PAW Patrol: The Mighty Movie,"[{'id': 16, 'name': 'Animation'} {'id': 10751, 'name': 'Family'}
 {'id': 28, 'name': 'Action'} {'id': 878, 'name': 'Science Fiction'}]","A magical meteor crash-lands in Adventure City, gives the PAW Patrol pups superpowers, and transforms them into The Mighty Pups. When the Patrol's archrival Humdinger breaks out of jail and teams up with mad scientist Victoria Vance to steal the powers for themselves, the Mighty Pups must save Adventure City and stop the supervillains before it's too late.",897.568,2023-09-21,30000000,126000000,Unleash your powers.,en,92,500,750,"Title: PAW Patrol: The Mighty Movie
Genres: Animation, Family, Action, Science Fiction","Title: PAW Patrol: The Mighty Movie
Genres: Animation, Family, Action, Science Fiction
Overview: A magical meteor crash-lands in Adventure City, gives the PAW Patrol pups superpowers, and transforms them into The Mighty Pups. When the Patrol's archrival Humdinger breaks out of jail and teams up with mad scientist Victoria Vance to steal the powers for themselves, the Mighty Pups must save Adventure City and stop the supervillains before it's too late.","['Animation', 'Family', 'Action', 'Science Fiction']",4
820525,After Everything,"[{'id': 10749, 'name': 'Romance'} {'id': 18, 'name': 'Drama'}]","Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",667.278,2023-09-13,14000000,9700000,,en,93,500,750,"Title: After Everything
Genres: Romance, Drama","Title: After Everything
Genres: Romance, Drama
Overview: Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.","['Romance', 'Drama']",2
346698,Barbie,"[{'id': 35, 'name': 'Comedy'} {'id': 12, 'name': 'Adventure'}
 {'id': 14, 'name': 'Fantasy'}]","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",637.727,2023-07-19,145000000,1434628000,She's everything. He's just Ken.,en,114,500,750,"Title: Barbie
Genres: Comedy, Adventure, Fantasy","Title: Barbie
Genres: Comedy, Adventure, Fantasy
Overview: Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","['Comedy', 'Adventure', 'Fantasy']",3
732684,Raiders of the Lost Library,"[{'id': 28, 'name': 'Action'} {'id': 12, 'name': 'Adventure'}]","While digging one of the many tunnels for the Moscow metro, Soviet workers unearth ruins of a dungeon. The site is closed, the metro tunnel is diverted, and amidst the bustle no one notices the tunnel workers’ foreman pocketing a little ‘souvenir’ – a book-sized frame made of precious metals featuring an inscription in an unknown language. Decades later, the foreman’s grandson Ilya, who works as a courier, discovers the ancient relic in a pile of old junk. Oblivious to the true value of the family heirloom, he soon learns about it from a mysterious stranger. The relic is the key to the secret location of the priceless ancient library that belonged to Ivan the Terrible. What Ilya doesn’t know is that the search for the lost library has been going on for centuries, and now very powerful people are after him. Ilya and the mysterious stranger decide to try their luck in finding the library.",594.605,2022-10-27,0,0,,ru,105,500,708,"Title: Raiders of the Lost Library
Genres: Action, Adventure","Title: Raiders of the Lost Library
Genres: Action, Adventure
Overview: While digging one of the many tunnels for the Moscow metro, Soviet workers unearth ruins of a dungeon. The site is closed, the metro tunnel is diverted, and amidst the bustle no one notices the tunnel workers’ foreman pocketing a little ‘souvenir’ – a book-sized frame made of precious metals featuring an inscription in an unknown language. Decades later, the foreman’s grandson Ilya, who works as a courier, discovers the ancient relic in a pile of old junk. Oblivious to the true value of the family heirloom, he soon learns about it from a mysterious stranger. The relic is the key to the secret location of the priceless ancient library that belonged to Ivan the Terrible. What Ilya doesn’t know is that the search for the lost library has been going on for centuries, and now very powerful people are after him. Ilya and the mysterious stranger decide to try their luck in finding the library.","['Action', 'Adventure']",2
818511,Overhaul,"[{'id': 28, 'name': 'Action'} {'id': 53, 'name': 'Thriller'}
 {'id': 18, 'name': 'Drama'}]","When truck racer Roger loses everything, he receives a tempting but dangerous offer: to work as the getaway driver for a gang of thieves.",579.324,2023-09-27,0,0,,pt,100,500,750,"Title: Overhaul
Genres: Action, Thriller, Drama","Title: Overhaul
Genres: Action, Thriller, Drama
Overview: When truck racer Roger loses everything, he receives a tempting but dangerous offer: to work as the getaway driver for a gang of thieves.","['Action', 'Thriller', 'Drama']",3
554600,Uri: The Surgical Strike,"[{'id': 28, 'name': 'Action'} {'id': 18, 'name': 'Drama'}
 {'id': 10752, 'name': 'War'}]","Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",532.808,2019-01-11,0,0,,hi,138,500,750,"Title: Uri: The Surgical Strike
Genres: Action, Drama, War","Title: Uri: The Surgical Strike
Genres: Action, Drama, War
Overview: Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.","['Action', 'Drama', 'War']",3
976573,Elemental,"[{'id': 16, 'name': 'Animation'} {'id': 35, 'name': 'Comedy'}
 {'id': 10751, 'name': 'Family'} {'id': 14, 'name': 'Fantasy'}
 {'id': 10749, 'name': 'Romance'}]","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",558.946,2023-06-14,200000000,490797988,Opposites react.,en,102,500,750,"Title: Elemental
Genres: Animation, Comedy, Family, Fantasy, Romance","Title: Elemental
Genres: Animation, Comedy, Family, Fantasy, Romance
Overview: In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.","['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",5
667538,Transformers: Rise of the Beasts,"[{'id': 28, 'name': 'Action'} {'id': 12, 'name': 'Adventure'}
 {'id': 878, 'name': 'Science Fiction'}]","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",546.911,2023-06-06,195000000,429800000,Unite or fall.,en,127,500,750,"Title: Transformers: Rise of the Beasts
Genres: Action, Adventure, Science Fiction","Title: Transformers: Rise of the Beasts
Genres: Action, Adventure, Science Fiction
Overview: When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","['Action', 'Adventure', 'Science Fiction']",3
951491,Saw X,"[{'id': 27, 'name': 'Horror'} {'id': 53, 'name': 'Thriller'}]","Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",521.01,2023-09-26,13000000,71984243,Witness the return of Jigsaw.,en,118,500,750,"Title: Saw X
Genres: Horror, Thriller","Title: Saw X
Genres: Horror, Thriller
Overview: Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","['Horror', 'Thriller']",2
974931,Totally Killer,"[{'id': 27, 'name': 'Horror'} {'id': 35, 'name': 'Comedy'}]","When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",490.274,2023-09-28,0,0,Murder is so 1987.,en,106,500,750,"Title: Totally Killer
Genres: Horror, Comedy","Title: Totally Killer
Genres: Horror, Comedy
Overview: When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.","['Horror', 'Comedy']",2
616747,Haunted Mansion,"[{'id': 14, 'name': 'Fantasy'} {'id': 35, 'name': 'Comedy'}
 {'id': 27, 'name': 'Horror'} {'id': 10751, 'name': 'Family'}]",A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.,486.811,2023-07-26,157800000,113100000,Home is where the haunt is.,en,123,500,750,"Title: Haunted Mansion
Genres: Fantasy, Comedy, Horror, Family","Title: Haunted Mansion
Genres: Fantasy, Comedy, Horror, Family
Overview: A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.","['Fantasy', 'Comedy', 'Horror', 'Family']",4
1174725,Race to the Summit,"[{'id': 99, 'name': 'Documentary'} {'id': 28, 'name': 'Action'}
 {'id': 12, 'name': 'Adventure'}]",Fearless alpine climbers Ueli Steck and Dani Arnold enter into a death-defying rivalry to set speed records on the Swiss Alps' great north faces.,438.188,2023-10-04,0,0,,de,90,500,750,"Title: Race to the Summit
Genres: Documentary, Action, Adventure","Title: Race to the Summit
Genres: Documentary, Action, Adventure
Overview: Fearless alpine climbers Ueli Steck and Dani Arnold enter into a death-defying rivalry to set speed records on the Swiss Alps' great north faces.","['Documentary', 'Action', 'Adventure']",3
569094,Spider-Man: Across the Spider-Verse,"[{'id': 16, 'name': 'Animation'} {'id': 28, 'name': 'Action'}
 {'id': 12, 'name': 'Adventure'}]","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",457.419,2023-05-31,100000000,683241751,It's how you wear the mask that matters.,en,140,500,750,"Title: Spider-Man: Across the Spider-Verse
Genres: Animation, Action, Adventure","Title: Spider-Man: Across the Spider-Verse
Genres: Animation, Action, Adventure
Overview: After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","['Animation', 'Action', 'Adventure']",3
1032948,V/H/S/85,"[{'id': 27, 'name': 'Horror'} {'id': 53, 'name': 'Thriller'}
 {'id': 14, 'name': 'Fantasy'} {'id': 878, 'name': 'Science Fiction'}
 {'id': 80, 'name': 'Crime'} {'id': 9648, 'name': 'Mystery'}]","Unveiled through a made-for-TV documentary, five chilling tales of found footage horror emerge to take viewers on a gore-filled journey through the grim underbelly of the forgotten 1980s.",456.884,2023-09-22,0,0,,en,110,500,750,"Title: V/H/S/85
Genres: Horror, Thriller, Fantasy, Science Fiction, Crime, Mystery","Title: V/H/S/85
Genres: Horror, Thriller, Fantasy, Science Fiction, Crime, Mystery
Overview: Unveiled through a made-for-TV documentary, five chilling tales of found footage horror emerge to take viewers on a gore-filled journey through the grim underbelly of the forgotten 1980s.","['Horror', 'Thriller', 'Fantasy', 'Science Fiction', 'Crime', 'Mystery']",6
963746,Summer 1941,"[{'id': 28, 'name': 'Action'} {'id': 10752, 'name': 'War'}]","Beginning of the Great Patriotic War. Lieutenant Adi Sharipov, together with his platoon, cover the retreat of the regimental headquarters and remain surrounded, behind enemy lines. The enemy drives the squad into the swamp. Fear of the unknown, despondency and doubt haunt the fighters until they realize that waiting and inaction will destroy the squad faster than enemy bullets.",436.411,2022-04-21,0,0,,ru,112,500,701,"Title: Summer 1941
Genres: Action, War","Title: Summer 1941
Genres: Action, War
Overview: Beginning of the Great Patriotic War. Lieutenant Adi Sharipov, together with his platoon, cover the retreat of the regimental headquarters and remain surrounded, behind enemy lines. The enemy drives the squad into the swamp. Fear of the unknown, despondency and doubt haunt the fighters until they realize that waiting and inaction will destroy the squad faster than enemy bullets.","['Action', 'War']",2
1171541,Sniper: G.R.I.T. - Global Response & Intelligence Team,"[{'id': 28, 'name': 'Action'} {'id': 53, 'name': 'Thriller'}]","When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",426.978,2023-09-26,0,0,,en,92,500,750,"Title: Sniper: G.R.I.T. - Global Response & Intelligence Team
Genres: Action, Thriller","Title: Sniper: G.R.I.T. - Global Response & Intelligence Team
Genres: Action, Thriller
Overview: When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.","['Action', 'Thriller']",2
466420,Killers of the Flower Moon,"[{'id': 80, 'name': 'Crime'} {'id': 18, 'name': 'Drama'}
 {'id': 53, 'name': 'Thriller'}]","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",426.252,2023-10-18,170000000,0,Greed is an animal that hungers for blood.,en,206,500,750,"Title: Killers of the Flower Moon
Genres: Crime, Drama, Thriller","Title: Killers of the Flower Moon
Genres: Crime, Drama, Thriller
Overview: When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.","['Crime', 'Drama', 'Thriller']",3
807172,The Exorcist: Believer,"[{'id': 27, 'name': 'Horror'}]","When his daughter, Angela, and her friend Katherine, show signs of demonic possession, it unleashes a chain of events that forces single father Victor Fielding to confront the nadir of evil. Terrified and desperate, he seeks out Chris MacNeil, the only person alive who's witnessed anything like it before.",424.79,2023-10-04,30000000,84561805,Do you believe?,en,111,500,750,"Title: The Exorcist: Believer
Genres: Horror","Title: The Exorcist: Believer
Genres: Horror
Overview: When his daughter, Angela, and her friend Katherine, show signs of demonic possession, it unleashes a chain of events that forces single father Victor Fielding to confront the nadir of evil. Terrified and desperate, he seeks out Chris MacNeil, the only person alive who's witnessed anything like it before.",['Horror'],1
335977,Indiana Jones and the Dial of Destiny,"[{'id': 12, 'name': 'Adventure'} {'id': 28, 'name': 'Action'}]","Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",420.768,2023-06-28,294700000,382891104,A legend will face his destiny.,en,155,500,750,"Title: Indiana Jones and the Dial of Destiny
Genres: Adventure, Action","Title: Indiana Jones and the Dial of Destiny
Genres: Adventure, Action
Overview: Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.","['Adventure', 'Action']",2
884315,Terror on the Prairie,"[{'id': 37, 'name': 'Western'} {'id': 28, 'name': 'Action'}
 {'id': 53, 'name': 'Thriller'}]",A pioneering family fights back against a gang of vicious outlaws that is terrorizing them on their newly-built farm on the plains of Montana.,414.781,2022-09-08,0,0,,en,107,500,667,"Title: Terror on the Prairie
Genres: Western, Action, Thriller","Title: Terror on the Prairie
Genres: Western, Action, Thriller
Overview: A pioneering family fights back against a gang of vicious outlaws that is terrorizing them on their newly-built farm on the plains of Montana.","['Western', 'Action', 'Thriller']",3
603692,John Wick: Chapter 4,"[{'id': 28, 'name': 'Action'} {'id': 53, 'name': 'Thriller'}
 {'id': 80, 'name': 'Crime'}]","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",408.059,2023-03-22,90000000,426978565,"No way back, one way out.",en,170,500,750,"Title: John Wick: Chapter 4
Genres: Action, Thriller, Crime","Title: John Wick: Chapter 4
Genres: Action, Thriller, Crime
Overview: With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","['Action', 'Thriller', 'Crime']",3
298618,The Flash,"[{'id': 28, 'name': 'Action'} {'id': 12, 'name': 'Adventure'}
 {'id': 878, 'name': 'Science Fiction'}]","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",388.005,2023-06-13,300000000,268375616,Worlds collide.,en,144,500,750,"Title: The Flash
Genres: Action, Adventure, Science Fiction","Title: The Flash
Genres: Action, Adventure, Science Fiction
Overview: When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?","['Action', 'Adventure', 'Science Fiction']",3
